voice_id,name,preview_url,owner_id,permission_on_resource,is_legacy,is_mixed,accent,description,age,gender,category,language,descriptive
9BWtsMINqrJLrRacOk9x,Aria,https://storage.googleapis.com/eleven-public-prod/premade/voices/9BWtsMINqrJLrRacOk9x/405766b8-1f4e-4d3c-aba1-6f25333823ec.mp3,,,False,False,American,expressive,middle-aged,female,social media,,
CwhRBWXzGAHq8TQ4Fs17,Roger,https://storage.googleapis.com/eleven-public-prod/premade/voices/CwhRBWXzGAHq8TQ4Fs17/58ee3ff5-f6f2-4628-93b8-e38eb31806b0.mp3,,,False,False,American,confident,middle-aged,male,social media,,
EXAVITQu4vr4xnSDxMaL,Sarah,https://storage.googleapis.com/eleven-public-prod/premade/voices/EXAVITQu4vr4xnSDxMaL/01a3e33c-6e99-4ee7-8543-ff2216a32186.mp3,,,False,False,american,soft,young,female,news,,
FGY2WhTYpPnrIDTdsKH5,Laura,https://storage.googleapis.com/eleven-public-prod/premade/voices/FGY2WhTYpPnrIDTdsKH5/67341759-ad08-41a5-be6e-de12fe448618.mp3,,,False,False,American,upbeat,young,female,social media,,
IKne3meq5aSn9XLyUdCD,Charlie,https://storage.googleapis.com/eleven-public-prod/premade/voices/IKne3meq5aSn9XLyUdCD/102de6f2-22ed-43e0-a1f1-111fa75c5481.mp3,,,False,False,Australian,natural,middle aged,male,conversational,,
JBFqnCBsd6RMkjVDRZzb,George,https://storage.googleapis.com/eleven-public-prod/premade/voices/JBFqnCBsd6RMkjVDRZzb/e6206d1a-0721-4787-aafb-06a6e705cac5.mp3,,,False,False,British,warm,middle aged,male,narration,,
N2lVS1w4EtoT3dr4eOWO,Callum,https://storage.googleapis.com/eleven-public-prod/premade/voices/N2lVS1w4EtoT3dr4eOWO/ac833bd8-ffda-4938-9ebc-b0f99ca25481.mp3,,,False,False,Transatlantic,intense,middle-aged,male,characters,,
SAz9YHcvj6GT2YYXdXww,River,https://storage.googleapis.com/eleven-public-prod/premade/voices/SAz9YHcvj6GT2YYXdXww/e6c95f0b-2227-491a-b3d7-2249240decb7.mp3,,,False,False,American,confident,middle-aged,non-binary,social media,,
TX3LPaxmHKxFdv7VOQHJ,Liam,https://storage.googleapis.com/eleven-public-prod/premade/voices/TX3LPaxmHKxFdv7VOQHJ/63148076-6363-42db-aea8-31424308b92c.mp3,,,False,False,American,articulate,young,male,narration,,
XB0fDUnXU5powFXDhCwa,Charlotte,https://storage.googleapis.com/eleven-public-prod/premade/voices/XB0fDUnXU5powFXDhCwa/942356dc-f10d-4d89-bda5-4f8505ee038b.mp3,,,False,False,Swedish,seductive,young,female,characters,,
Xb7hH8MSUJpSbSDYk0k2,Alice,https://storage.googleapis.com/eleven-public-prod/premade/voices/Xb7hH8MSUJpSbSDYk0k2/d10f7534-11f6-41fe-a012-2de1e482d336.mp3,,,False,False,British,confident,middle-aged,female,news,,
XrExE9yKIg1WjnnlVkGX,Matilda,https://storage.googleapis.com/eleven-public-prod/premade/voices/XrExE9yKIg1WjnnlVkGX/b930e18d-6b4d-466e-bab2-0ae97c6d8535.mp3,,,False,False,American,friendly,middle-aged,female,narration,,
bIHbv24MWmeRgasZH58o,Will,https://storage.googleapis.com/eleven-public-prod/premade/voices/bIHbv24MWmeRgasZH58o/8caf8f3d-ad29-4980-af41-53f20c72d7a4.mp3,,,False,False,American,friendly,young,male,social media,,
cgSgspJ2msm6clMCkdW9,Jessica,https://storage.googleapis.com/eleven-public-prod/premade/voices/cgSgspJ2msm6clMCkdW9/56a97bf8-b69b-448f-846c-c3a11683d45a.mp3,,,False,False,American,expressive,young,female,conversational,,
cjVigY5qzO86Huf0OWal,Eric,https://storage.googleapis.com/eleven-public-prod/premade/voices/cjVigY5qzO86Huf0OWal/d098fda0-6456-4030-b3d8-63aa048c9070.mp3,,,False,False,American,friendly,middle-aged,male,conversational,,
iP95p4xoKVk53GoZ742B,Chris,https://storage.googleapis.com/eleven-public-prod/premade/voices/iP95p4xoKVk53GoZ742B/3f4bde72-cc48-40dd-829f-57fbf906f4d7.mp3,,,False,False,American,casual,middle-aged,male,conversational,,
nPczCjzI2devNBz1zQrb,Brian,https://storage.googleapis.com/eleven-public-prod/premade/voices/nPczCjzI2devNBz1zQrb/2dd3e72c-4fd3-42f1-93ea-abc5d4e5aa1d.mp3,,,False,False,American,deep,middle-aged,male,narration,,
onwK4e9ZLuTAKqWW03F9,Daniel,https://storage.googleapis.com/eleven-public-prod/premade/voices/onwK4e9ZLuTAKqWW03F9/7eee0236-1a72-4b86-b303-5dcadc007ba9.mp3,,,False,False,British,authoritative,middle-aged,male,news,,
pFZP5JQG7iQjIQuC4Bku,Lily,https://storage.googleapis.com/eleven-public-prod/premade/voices/pFZP5JQG7iQjIQuC4Bku/89b68b35-b3dd-4348-a84a-a3c13a3c2b30.mp3,,,False,False,British,warm,middle-aged,female,narration,,
pqHfZKP75CvOlQylNhV4,Bill,https://storage.googleapis.com/eleven-public-prod/premade/voices/pqHfZKP75CvOlQylNhV4/d782b3ff-84ba-4029-848c-acf01285524d.mp3,,,False,False,American,trustworthy,old,male,narration,,
jnmgvhGiCSW0gr6y3lc8,Jafar - Deep Narrator,https://storage.googleapis.com/eleven-public-prod/database/user/sD92HnMHS9WZLXKNTKxmnC8XmJ32/voices/jnmgvhGiCSW0gr6y3lc8/Id5ipSQDNJCELSTy4SpT.mp3,,admin,False,False,modern standard,,middle_aged,male,narrative_story,ar,deep
vfaqCOvlrKi4Zp7C2IAm,Demon Monster,https://storage.googleapis.com/eleven-public-prod/custom/voices/vfaqCOvlrKi4Zp7C2IAm/mLg8Cp6Jq1r0xAbqjgwJ.mp3,,admin,False,False,american,,middle_aged,neutral,characters_animation,en,deep
